,Albany,Allegany,Bronx,Broome,Cattaraugus,Cayuga,Chautauqua,Chemung,Chenango,Clinton,Columbia,Cortland,Delaware,Dutchess,Erie,Essex,Franklin,Fulton,Genesee,Greene,Hamilton,Herkimer,Jefferson,Kings,Lewis,Livingston,Madison,Monroe,Montgomery,Nassau,New York,Niagara,Oneida,Onondaga,Ontario,Orange,Orleans,Oswego,Otsego,Putnam,Queens,Rensselaer,Richmond,Rockland,Saratoga,Schenectady,Schoharie,Schuyler,Seneca,Steuben,St. Lawrence,Suffolk,Sullivan,Tioga,Tompkins,Ulster,Warren,Washington,Wayne,Westchester,Wyoming,Yates
26,12159,14803,10550,13835,14743,13160,14747,,13841,12992,12516,,13756,12574,14070,12964,13683,,,12450,,13491,13641,11228,,14572,13460,14580,,11518,10028,,13401,13110,14548,10969,,13437,13491,,11365,12180,,10993,12884,,,,,14843,13648,11731,12747,,,12457,12886,12887,14589,10535,,
27,12161,14804,10704,13848,14747,13166,14750,,13843,12997,12517,,13757,12578,14072,12972,,,,12451,,13501,13643,11229,,14592,13465,14586,,11520,10029,,13402,13112,14560,10973,,13483,13733,,11366,12181,,10994,,,,,,14855,13649,11733,12748,,,12458,,,14590,10536,,
28,12183,14806,10705,13850,14748,14882,14752,,13844,,12521,,13774,12580,14075,12974,,,,12452,,13502,13646,11230,,14822,13477,14602,,11530,10030,,13403,13116,14561,10974,,13493,13747,,11367,12182,,,,,,,,14856,13652,11735,12749,,,12461,,,,10537,,
29,12186,14807,10803,13851,14751,,14756,,13863,,12523,,13775,12581,14080,12975,,,,12454,,,13650,11231,,14836,13480,14603,,11531,10031,,13409,13119,14564,10975,,13661,13750,,11368,12184,,,,,,,,14858,13654,11737,12750,,,12463,,,,10538,,
30,12189,14813,,13862,14753,,14757,,,,12526,,13782,12582,14081,12977,,,,12460,,,13651,11232,,14846,13484,14604,,11535,10032,,13413,13120,14585,10979,,,13776,,11369,12185,,,,,,,,14870,13658,11738,12751,,,12464,,,,10540,,
31,12193,14822,,13863,14755,,14758,,,,12529,,13783,12583,14085,12983,,,,12463,,,13656,11233,,,13485,14605,,11536,10033,,13417,13122,,10981,,,13796,,11370,12196,,,,,,,,14871,13660,11739,12752,,,12465,,,,10541,,
32,12201,14836,,13865,14760,,14767,,,,12530,,13786,12585,14086,12987,,,,12468,,,13659,11234,,,13491,14606,,11542,10034,,13421,13135,,10985,,,13807,,11371,12198,,,,,,,,14873,13662,11740,12754,,,12466,,,,10543,,
33,12202,14843,,13901,14766,,14769,,,,12534,,13788,12590,14091,12989,,,,12469,,,13661,11235,,,,14607,,11545,10035,,13424,13137,,10987,,,13808,,11372,,,,,,,,,14874,13664,11741,12758,,,12471,,,,10545,,
34,12203,14846,,13902,14770,,14775,,,,12541,,13804,12592,14102,12993,,,,12470,,,13665,11236,,,,14608,,11547,10036,,13425,13138,,10988,,,13809,,11373,,,,,,,,,14877,13666,11742,12759,,,12472,,,,10546,,
35,12204,14880,,13903,14772,,14781,,,,12544,,13806,12594,14110,12996,,,,12473,,,13671,11237,,,,14609,,11548,10037,,13431,13141,,10990,,,13810,,11374,,,,,,,,,14879,13667,11743,12760,,,12475,,,,10547,,
36,12205,14884,,13904,14778,,14782,,,,12546,,13820,12601,14111,12997,,,,12477,,,13673,11238,,,,14610,,11549,10038,,13435,13152,,10992,,,13820,,11375,,,,,,,,,14885,13668,11746,12762,,,12477,,,,10548,,
